VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,IS_BUGGY
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,105,310,104,16.666666666666668,100,48,16.666666666666668,210,104,17.5,0,6,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,105,296,103,8.6,86,39,8.6,210,103,10.5,0,10,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,92,252,91,8.5,68,31,8.5,184,91,11.5,0,8,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,101,302,100,16.666666666666668,100,48,16.666666666666668,202,100,16.833333333333332,0,6,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,45,90,45,0.0,0,0,0.0,90,45,22.5,0,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,289,580,289,0.5,2,1,0.5,578,289,72.25,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,32,70,31,1.5,6,3,1.5,64,31,8.0,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,111,222,111,0.0,0,0,0.0,222,111,55.5,0,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,35,72,35,0.5,2,1,0.5,70,35,8.75,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,81,162,81,0.0,0,0,0.0,162,81,40.5,0,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,27,54,27,0.0,0,0,0.0,54,27,13.5,0,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,28,56,28,0.0,0,0,0.0,56,28,14.0,0,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,29,60,29,0.5,2,1,0.5,58,29,7.25,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,566,1200,561,8.5,68,32,8.5,1132,561,70.75,0,8,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,64,160,64,8.0,32,16,8.0,128,64,16.0,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,29,60,29,0.5,2,1,0.5,58,29,7.25,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,64,130,64,0.5,2,1,0.5,128,64,16.0,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,37,80,37,1.5,6,3,1.5,74,37,9.25,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,68,158,68,5.5,22,11,5.5,136,68,17.0,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,154,330,153,3.6666666666666665,22,9,3.6666666666666665,308,153,25.666666666666668,0,6,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,72,146,72,0.5,2,1,0.5,144,72,18.0,0,4,False
